Description,Title
"I love it... :) Very good battery back up, clear voice and almost no call drops. Fantastic Camera...and very responsive - no restarts for weeks together.READ MORE",Awesome Phone
amazing phone guys...i love it...the battery back up amazing...thanks to flipkartREAD MORE,Highly recommended
"Phone speed is good, Nice Back Camera Result But Front Camera Result Normal and heats up quickly than the normal.Battery Backup good but continues use phone and use 4g Network battery quickly draning. 2 hours 30 Min timing for full battery 100% charge and i have continues use 4g network 3 hrs and battery quickly draning only 15%. After Full Charge Battery and Stand By mode Battery Automatically draning.Sound Quality is good. Touch very good. I have continues use Heating phone many issue...READ MORE",Nice Phone But Battery Quickly Draning and Heating Problem
Superb phone in this range and light weight  also good touch camera processor no hang no heat look like Apple 6READ MORE,Must buy!
It really worth of moneyREAD MORE,great
Awesome mobile wait less mobile  super amoled display  nice feature  budget mobile so niceREAD MORE,Worth the money
"Total worth the price ! Worth the wait delivered in 4days ,No performance issues .READ MORE",Mind-blowing purchase
Great Product.Amazing 4 Month Of use Nice OneREAD MORE,Perfect product!
Hey Guys This is a great amazing phone...1. Awesome battery service2. Super AMOLED display that beats the others phones under 12k.3. VoLTE support & that u can make call directly without data connection. Also make HD call faicilty that is awesome. 4. Camera- I love it.        Both camera are fabulous.       Selfie cam also awesome.       1080p HD video rec on back cam.        Front & Back both flash nice.        Fast Auto Focusing.5. Fabulous look. Side made by metal & Diamond Cut....READ MORE,Excellent
nice phone...READ MORE,Must buy!
GoodREAD MORE,Pretty good
Capacitive keys not glowing. Tried everything.READ MORE,Biggest mistake of my life!
Good product.....Nice displayAwesome battery Nice and soothing soundDual 4g standbyThanks to flipkart for awesome discount deal..READ MORE,Terrific
v good phone....READ MORE,Wonderful
One of the best smart phone. Working smoothly with style.READ MORE,Just wow!
Very nice product.READ MORE,Delightful
Nice phoneREAD MORE,Great product
Best product on Samsung . I brought on 10k . Good phone good Battery life good camera. Only sound slow .READ MORE,Really Nice
"The only thing which i don't like in Samsung J5 is the ""CAMERA""...both front and rear... Otherwise phone is good..READ MORE",Faced minor issues
Connectivity issueREAD MORE,Worth the money
Good product I like you  the most trustful Filpkart ProductREAD MORE,Wonderful
all things work fabulus...???READ MORE,Great product
Good productREAD MORE,Fair
Mobile hangs if you open 2 or 3 Apps very low speed processor and I have experienced worst delivery service from flipkart I really don't understand Samsung galaxy j5 2016 edition is having low speed processor 1.2 Ghz when compared with its own Samsung galaxy j2 2016 edition which comes with  1.5 Ghz processor and the 38 background apps which runs automatically consume the whole RAM makes mobile to hang and freezes.At least it must have 1.5 Ghz processor or better I recommended not to go with ...READ MORE,Worst delivery service and low processor speed
"Initially it seems to be awesome.... Next update,I will provide soon....READ MORE",Very Good
"Heating problem , Poor battery backup not worth to buy at 10k alsoREAD MORE",Useless product
Nice phone LOVE YOU SAMSUNG J5-6READ MORE,Super!
Good phone good camera very good battery bck up no hang no heating ....READ MORE,Brilliant
This time it proved that samsung is also in standing position great job j5-6READ MORE,Nice product
What can i say? I am feeing lucky coz I got in only R.s 10990 now the price become a high R.s 11990 I saved 1000 Thank you flipkartREAD MORE,Very Good
Very bad product phone is getting heat and getting hang please dont buy this after 10days only problem are coming so im anable to replace tooREAD MORE,Worst experience ever!
Nice phone in this range but there is only one problem that is of heatingREAD MORE,Nice product
"Good, getting heated up while using video or games, otherwise fineREAD MORE",Decent product
Hearing problem alone otherwise goodREAD MORE,Value-for-money
Great phoneREAD MORE,Super
Excellent.READ MORE,Just wow!
Good product..READ MORE,Good choice
goodREAD MORE,Nice
Owsm phone.... Must Buy No hang not heating issue ?READ MORE,Excellent
Its good but some time heat and hangREAD MORE,Really Nice
Hi....its very good Samsung  mobile and  good service by flipcartREAD MORE,Excellent
GoodREAD MORE,Really Nice
The phone is to good thanks flipcart to get this phoneREAD MORE,Mind-blowing purchase
"I have purchase j5-2016 Gold under exchange on 06.oct.16. Thanks for flipkart for very fast delivery.  my review for this phone..Looking ..good, battery back up...good,Camara quality...good,Speed 2gb ram good,..Audio...not good & Heating problem...READ MORE",Fair
Nice product at such a price range.. product was delivered at the promised date  by flipkart.... Overall happy with the product and flipkart...READ MORE,Good quality product
This mobile receives network more than others which I have used yetREAD MORE,Good quality product
goodREAD MORE,Worth every penny
Very Bad.... Overheating without any use...READ MORE,Absolute rubbish!
Best productREAD MORE,Terrific
ExcellentREAD MORE,Simply awesome
Still performance is good. Satisfied with product delivery time is goodREAD MORE,Must buy!
Best price. Quick delivery. Amazing experience.READ MORE,Terrific purchase
It is not a phone smart robotREAD MORE,Worth the money
Samsung Galaxy j5 good phoneREAD MORE,Fabulous!
GoodREAD MORE,Mind-blowing purchase
Good phoneREAD MORE,Best in the market!
GoodREAD MORE,Worth the money
"Lagging so much especially while texting, touch sensitivity feels bad.Rest all goodREAD MORE",Moderate
Good oneREAD MORE,Terrific purchase
"Awesome update by Samsung,  it's lightning fastREAD MORE",Just wow!
The internet speed via wifi is slower than 5k chinese phone Try it to believe.READ MORE,Huge drawback
This phone is very good and I love it thanks FlipkartREAD MORE,Excellent
Osammmm....READ MORE,Wonderful
GreatREAD MORE,Super!
Great  screen quality...  Battery backup awesome...  Best  mobile...  But camera quality is  not up to the mark..READ MORE,Wonderful
Nice camera..good battery backup..and good looking..vrey good Mobile.READ MORE,Good choice
Good mobile from Samsung.  Gorilla glass and finger access should be provide for this budget mobile...Good mobile can go for this mobile...........READ MORE,Delightful
greatREAD MORE,Best in the market!
Camera quality not goodREAD MORE,Good but nothing fancy
Nice mobile in this range ..READ MORE,Good choice
Osumm mobile ever like that so muchREAD MORE,Pretty good
Everything is ok as Brand NameREAD MORE,Very Good
Slight heating problem occurs when using net and in at charging...READ MORE,Worth the money
GoodREAD MORE,Brilliant
Nice phoneREAD MORE,Terrific
NiceREAD MORE,Best in the market!
Nice mobile with great performanceREAD MORE,Worth every penny
"Very Bad product, net slow. Mony lossREAD MORE",Wonderful
Nice phn in good price range....READ MORE,Just wow!
Best of all ranges. 6 days of use and I cannot think anything better. Thanks Samsung and FlipKart.READ MORE,Worth the money spent
All is wellREAD MORE,Great product
Overall mobile is good. But only the thing is that there is no LED notification. Overall is good.READ MORE,Pretty good
This phine is amazing....I appreciate it infront of my friendsREAD MORE,Terrific
Nice phone but you used first than download softwareREAD MORE,Pretty good
GOODREAD MORE,Just wow!
"Delivered one day before the said dateMobile is absolutely  fantastic, battery  backup is nice,camera  quality  is nice overall nice product  by SamsungREAD MORE",Highly recommended
Nice mobileREAD MORE,Perfect product!
Battery not a goodREAD MORE,Fair
GoodREAD MORE,Mind-blowing purchase
Good performanceREAD MORE,Fabulous!
Nice battery backupREAD MORE,Good quality product
Good productREAD MORE,Worth the money
Almost all flagship features got it for 9891READ MORE,Brilliant
The product is excellent & value for money especially with discount on SBI Cards.The delivery was much faster than expectedREAD MORE,Excellent Product & Service
Very good productREAD MORE,Brilliant
Good product and happy with the early deliveryREAD MORE,Super!
generate over heat while charging baa productREAD MORE,Waste of money!
Very niceREAD MORE,Just wow!
"Trusted Brand, but spending 13k and getting only 1.5gb ram. And other brand line lenovo and motorola are offering 3gm ram mobile in same price. One thing should samsung mobile need to chnage is their default storage, whatever you download or someone share you by shareit. Its directly goes to your internal storage, there is no default option to save in external storage.READ MORE",Moderate
Waste product in the world you don't give the option to give -- ratingREAD MORE,Useless product
Phone is Heating too much when starting internet. Battery automatically get low from 100 to 40%..Very bad productREAD MORE,Terrible product
Very nice mobile phone and very good price and no Hitting and no Hanging and Delivery proces is good Thanks flipcard.READ MORE,Very Good
Looking is very good but sometimes the phone is hanging.And the back key and the Manu key didn't light up.READ MORE,Met Expectations
"Samsung ""j"" series  r better than any other ...READ MORE",Just wow!
"Amazing phone and best buy price in 9891 rupees. Touch is good, speed is good, camera is good and all features that I need in phone are in. So a great deal in less budget. Thank you FLIPKART.READ MORE",Simply awesome
This is the one of the best mobile in the Samsung I am full happy becoz of mobile condition and battery backup ....READ MORE,Awesome
"Dear Friends this is a Really Good phone with VoLTE support, but price is high if I compared same feature with other brands...READ MORE",Really Good phone with VoLTE
Very nice.READ MORE,Highly recommended
I was purchase Oct 1st. 2016. Still it is okREAD MORE,Good product
Good MobileREAD MORE,Excellent
I gifted this to my sister... Till now she's very happy with the product...READ MORE,good one
